Type,ID,ParentID,Date,Content,Likes,Comments
POST,"tgY8y0UfTuU","","2025-10-08 16:15:06","vì sao thái nguyên ngập lịch sử bão matmo? baothanhnien #tintuc #thoisu #tinnong thái nguyên ghi nhận lượng mưa lớn kỷ lục, nhiều nơi 500 mm khiến lũ sông cầu .",301,0
POST,"Ykv60yyB8Ew","","2025-10-03 09:16:29","chính thức đón chào con quái vật matmo #bão #baoso11 #matmo #baomatmo #thoitiet",5121,401
COMMENT,"Ugy79l4Xwtg9VdO_kD14AaABAg","Ykv60yyB8Ew","2025-10-04 20:43:56","nam mô a di đà phật - cầu xin đức phật quán thế âm bồ tát cứu khổ cứu nạn che chở cho đồng bào ,ngư dân biển bộ đội cảnh sát biển cứu hộ cứu nạn luôn luôn đủ ,về đủ bình an vô sự .",8,0
COMMENT,"UgwZgxBTN-Hey2PwtEJ4AaABAg","Ykv60yyB8Ew","2025-10-05 20:29:00","nam mô a di đà phật cầu mong tâm bão qua cho người dân bớt khổ",0,0
COMMENT,"UgwwAPmxSonaNG-vXZB4AaABAg","Ykv60yyB8Ew","2025-10-05 21:05:19","a di đà phật.  a di đà phật.  nam mô bồ tát quán thế âm. cầu nguyện tất mọi người mọi loài luôn bình an",0,0
COMMENT,"Ugwhym2H16Y2z873vXh4AaABAg","Ykv60yyB8Ew","2025-10-04 05:40:32","bão chồng bão. không ngừng nghỉ. năm 2025 từ chính trị xã hội tới thiên nhiên đều bất ổn nhau. nước thi nhau chiến tranh. bão mạnh bão trước. cầu bình an cho thế giới",10,0
COMMENT,"UgyUyHCLo-PQhsl1hB94AaABAg","Ykv60yyB8Ew","2025-10-03 23:23:12","nam mô quan thế âm bồ tát cứu khổ cứu nạn cho việt nam chúng con tránh được cơn bão này. mong mẹ thiên nhiên đừng nổi giận chúng con",12,0
COMMENT,"UgwvQiMlEJ9QZZXgTRF4AaABAg","Ykv60yyB8Ew","2025-10-04 22:41:26","nam mô đại từ đại bi cứu khổ cứu nạn linh cảm quán thế âm bồ tát nam mô a di đà phật nguyện cầu cho cơn bão mau tan, nguyện cho nhân loại đều được bình an",1,0
COMMENT,"UgzldVOsBG3wxOE10FN4AaABAg","Ykv60yyB8Ew","2025-10-04 20:07:46","thiên nhiên giận dữ không tự nhiên do con người tàn phá thiên nhiên ngày một nhiều do nhân quả quy luật con người nhận lấy.nam mô a di đà phật",1,0
COMMENT,"UgxfS_UCymkdBLKiGdF4AaABAg","Ykv60yyB8Ew","2025-10-03 18:30:56","cho tôi hỏi ngu cái, sao tôi thấy năm ít bão sao năm nay nhiều bão vậy",64,0
